"","classification","relative_intensity","soft_colors","hard_colors"
"1","Pulsar",0.217169094291561,0.364305427782889,0.508422969665927
"2","BH",0.0507727007869516,0.568212080861881,0.667257462686567
"3","NS",0.552433585182591,0.458565560334021,0.342069288755224
"4","BH",0.24392679937776,0.225583081279666,0.0240823784325703
"5","NS",0.324836752925094,0.549282919891718,0.54309813419387
"6","BH",0.0469912643977327,0.361317403939296,0.456045467045559
"7","BH",0.218332741198883,0.723066474233806,0.82365661152557
"8","NS",0.395897480530904,0.452667163904414,0.412202226152086
"9","Pulsar",0.150516957186492,0.434184882802212,0.532448313384113
"10","NS",0.702814005614711,0.570413513389727,0.497192619409961
"11","NS",0.0756506714012077,0.502420447944233,0.570624930377632
"12","NS",0.586250726024342,0.50709878300703,0.453302082489734
"13","Pulsar",0.351770413942364,0.373102174805088,0.36333802156587
"14","NS",0.0295131086929647,0.46972262013283,0.367112216350637
"15","Pulsar",0.174223725591971,0.455369890539897,0.468152126203816
"16","BH",0.280558278265661,0.408822887093252,0.348786858203313
"17","NS",0.486616475047832,0.525219184155406,0.558867818652588
"18","NS",0.69341774578709,0.497774609962778,0.420879602571596
"19","Pulsar",0.321511593627802,0.532707982012366,0.59966892400301
"20","BH",0.397312927962721,0.630625616371881,0.531359027264402
"21","Pulsar",0.355979443291516,0.416077431320274,0.48679418281843
"22","BH",0.24828105084561,0.457528118044193,0.469426888190844
"23","NS",0.692470764394791,0.544423827434486,0.550832940255771
"24","NS",0.580657602047081,0.545263863906588,0.480981054997747
"25","NS",0.689528828841656,0.563485674345475,0.539266345192302
"26","NS",0.0222763445228877,0.437730921136451,0.487984917699949
"27","NS",0.604266017656481,0.596707069132102,0.596566418302154
"28","Pulsar",0.0851161884896747,0.396006282252636,0.716631578947368
"29","NS",0.551594550028921,0.518262586377098,0.423208755880198
"30","NS",0.741904504383215,0.53276173230356,0.489458105314039
"31","Pulsar",0.0791944191376875,0.652019844082211,0.763447043282306
"32","NS",0.172388636629842,0.578801719127404,0.532535595747483
"33","NS",0.435863555933858,0.496210690857359,0.430754423044483
"34","BH",0.374558014618943,0.321949510870925,0.219832868622564
"35","NS",0.481387853210315,0.445497582081955,0.385661756412281
"36","BH",0.0327784430717962,0.469174711652235,0.409540444794332
"37","Pulsar",0.705330710459253,0.434456789202893,0.577025318808789
"38","NS",0.472641097319274,0.51201268091543,0.415535426231542
"39","BH",0.30515797996703,0.571519508975536,0.540861898128868
"40","BH",0.282120304528203,0.43719115342895,0.259768824306473
"41","BH",0.222066582636377,0.737631792376318,0.871887530320281
"42","BH",0.322869381104906,0.390492800075417,0.191749355418392
"43","NS",0.0697702665989233,0.47882021597294,0.496795616348506
"44","BH",0.00653506519226407,0.655509645240948,0.522445728617668
"45","BH",0.0421518119351453,0.425354312771531,0.338781700227483
