"","classification","relative_intensity","soft_colors","hard_colors"
"1","NS",0.151678859823774,0.574651558189019,0.4898778998779
"2","BH",0.481231040423571,0.42062785140126,0.497067476332365
"3","NS",0.615128095873562,0.522490068202172,0.536691505050069
"4","NS",0.676929212521217,0.492548998138618,0.399300087489064
"5","Pulsar",0.294386532689594,0.600546975546976,0.737109581789307
"6","NS",0.790829744620723,0.568355689900776,0.525237409241787
"7","BH",0.270834212824096,0.56775939580553,0.529243636068369
"8","BH",0.0819893612005706,0.546632503660322,0.603850828375872
"9","Pulsar",0.727166486906717,0.559602447599236,0.641418793767767
"10","NS",0.594658586014495,0.501263534837521,0.440415804211382
"11","NS",0.433147791553405,0.477458234107146,0.446022645145748
"12","Pulsar",0.314574496226086,0.388021516662293,0.861704493232726
"13","NS",0.0205522786637735,0.257360577247286,0.212204020316189
"14","NS",0.0502769387939758,0.442348828551417,0.401088363456469
"15","Pulsar",0.363906254174646,0.553211130159567,0.719884249689954
"16","Pulsar",0.670303413502172,0.507414552679317,0.658624680715198
"17","Pulsar",0.219565814074372,0.381704651888854,0.632333283825932
"18","Pulsar",0.263918194258995,0.646041651003684,0.827038941954445
"19","NS",0.4163638009173,0.43710323406806,0.337303666320955
"20","NS",0.26367258994699,0.50898213054994,0.441112420861557
"21","NS",0.702278727195635,0.497216843663689,0.494063188143935
"22","NS",0.528108653860331,0.554803100915069,0.527395709147865
"23","NS",0.646951115929771,0.575540891312497,0.570002722726165
"24","NS",0.528108095660533,0.464358012925307,0.378145695364238
"25","NS",0.523590911583085,0.55817884925773,0.526528113029001
"26","BH",0.503141907550052,0.466635848624417,0.512163215262598
"27","BH",0.663556964034541,0.603463769299894,0.630565492046579
"28","NS",0.643203091773615,0.563690536999112,0.55860066958118
"29","BH",0.409240006933716,0.544875935908162,0.400329305388887
"30","BH",0.00510940896228191,0.380450117568021,0.43603228962818
"31","Pulsar",0.13981268990794,0.572997828586026,0.761520901697817
"32","BH",0.621246732446738,0.602658927673925,0.548365220532137
"33","BH",0.768907043109071,0.289701123364052,0.053360502039046
"34","NS",0.0520885865211495,0.476907379242631,0.507066272382577
"35","BH",0.171536414166643,0.368027819859523,0.281829564128649
"36","Pulsar",0.327860628121002,0.438804407320149,0.524182320776417
"37","NS",0.232385680660596,0.449181129308238,0.485267809912189
"38","NS",0.453351368524069,0.535676863933393,0.556955227207861
"39","NS",0.549453980930567,0.499325836639784,0.424796713480298
"40","BH",0.801490885709216,0.595837168865705,0.63080444735121
"41","BH",0.0771643674391542,0.354566173254449,0.335681504190255
"42","NS",0.239871164671164,0.450076804915515,0.38243477431356
"43","NS",0.256251693626581,0.579355796275993,0.472476168226089
"44","NS",0.621574512294498,0.579141642244873,0.590649404526788
"45","NS",0.0888153116345722,0.464957479787189,0.518264969354078
"46","Pulsar",0.643439764705191,0.378715758282634,0.459234768770664
"47","BH",0.480946255635919,0.648493829975206,0.664417478369701
"48","BH",0.5337098434404,0.442891188095792,0.387190102459999
"49","Pulsar",0.0385875166104544,0.422877640494221,0.642115669797331
"50","BH",0.030144733069802,0.591511066820518,0.546344162747011
"51","BH",0.147394503304441,0.501852441244045,0.434883911168279
"52","NS",0.422599910768906,0.499242590828019,0.456201329282691
"53","NS",0.0235908754452107,0.382416929043417,0.380986564091451
"54","Pulsar",0.882714393052386,0.60457757478999,0.71330824685539
"55","BH",0.00842668936751077,0.526411369917094,0.564676210694392
"56","Pulsar",0.53630766540858,0.341019961680097,0.437001520833091
"57","BH",0.149906156715962,0.493418180982793,0.512216163604791
"58","NS",0.603675608813241,0.455571056898307,0.504672384219554
"59","Pulsar",0.222178563918232,0.279523994308628,0.555874496671052
"60","Pulsar",0.509137541814582,0.497665753424658,0.574944362017804
"61","BH",0.189435801815153,0.300632537741419,0.175191360785351
"62","NS",0.557834171380535,0.460822685238479,0.399739416463753
"63","NS",0.206143964633168,0.481219970754126,0.317859693457123
"64","BH",0.0319142280002234,0.599312992523742,0.565399630162318
"65","NS",0.739231456101798,0.552941244741042,0.532558545920534
"66","NS",0.698534979433616,0.472011222373114,0.380113885238721
"67","BH",0.455133423024732,0.35883120649652,0.314389827880292
"68","NS",0.0602173426319956,0.529275992172888,0.465039561627678
"69","NS",0.711853477555198,0.515991318130858,0.410872619471763
"70","BH",0.067398973020553,0.510503190452094,0.537955660146557
"71","BH",0.296113018318507,0.544872708803008,0.437742526736423
"72","NS",0.391324623599069,0.264146082739809,0.46172349576553
"73","BH",0.526324560006737,0.290607031219851,0.0375906389885082
"74","BH",0.207978898071231,0.406017615669803,0.364624166150884
"75","NS",0.632190182756049,0.530347663769469,0.550099535500995
"76","Pulsar",0.177888512306087,0.573872472783826,0.739281316467032
"77","BH",0.832797733887239,0.354734050385338,0.207578515903721
"78","NS",0.697778989196133,0.549119126901468,0.399362957751983
"79","BH",0.307874850119924,0.4576369395586,0.262083705611324
"80","BH",0.0554583926171853,0.347928268533183,0.340622154485983
"81","NS",0.380999768556393,0.61416365912941,0.474670321405292
"82","Pulsar",0.649927313930303,0.474898939821524,0.656518789039893
"83","Pulsar",0.151078851269194,0.613719928563925,0.749164335902858
"84","BH",0.585778094998405,0.284194320082519,0.0442158605797497
"85","BH",0.426071847521316,0.376936096828793,0.22990388600525
"86","NS",0.513185389503874,0.49139661945696,0.456835039759081
"87","BH",0.698792248394535,0.396679913476533,0.272147980919783
"88","NS",0.701380362336221,0.578824842410593,0.522128148812494
"89","Pulsar",0.274741317783665,0.39846351969448,0.581603657029899
"90","NS",0.0642618754820881,0.604158551412349,0.61858806669548
"91","NS",0.629875395513383,0.534067841693382,0.457122071685593
"92","NS",0.338950450377712,0.538281625129722,0.526728586171311
"93","NS",0.0569599176736345,0.458066416316913,0.440644474844201
"94","Pulsar",0.319778093013884,0.41601608705938,0.609406831622461
"95","Pulsar",0.556713511427534,0.749377158092574,0.949123367404884
"96","NS",0.357311029454464,0.350408420453261,0.359411900711797
"97","BH",0.3458830400899,0.438453713123093,0.311720698254364
"98","Pulsar",0.365380644154727,0.549105512960935,0.687183383991895
"99","Pulsar",0.633969631578277,0.79402338674751,0.929742665524271
"100","BH",0.0389737345638629,0.444780667504159,0.521564224561968
"101","Pulsar",0.64227445352894,0.636594800185323,0.770855555027142
"102","BH",1.00001951679001,0.319308210014871,0.0874278247664789
"103","NS",0.729256345098378,0.593519337481406,0.508121827148831
"104","Pulsar",0.362701949803524,0.580737697660829,0.717086868204087
"105","BH",0.543824703356265,0.656978147242782,0.630366545005094
"106","Pulsar",0.160681992779884,0.612903225806452,0.7022864996564
"107","NS",0.288610452039516,0.453547893447533,0.391448520037783
"108","BH",0.255203099421144,0.739244626937447,0.738608868164162
"109","Pulsar",0.446198811966628,0.325355666129371,0.499692499588556
"110","NS",0.591910273289981,0.556718542217419,0.528037819579881
"111","Pulsar",0.85698484133965,0.530958119915637,0.655470995548842
"112","NS",0.623549136575599,0.608716258585741,0.585501873093114
"113","Pulsar",0.406141939334121,0.479207695803666,0.716310447268526
"114","NS",0.864764983255492,0.569030473934354,0.54097566279891
"115","Pulsar",0.164572113874623,0.65619131088018,0.839330641858288
"116","NS",0.427464066788114,0.437251575375667,0.430222571225246
"117","NS",0.160629780800479,0.428669398536982,0.296171135934583
"118","NS",0.675283647733965,0.545951349004121,0.552231535838699
"119","NS",0.641371092622326,0.475254805390246,0.428094829835613
"120","NS",0.108479265265536,0.471071441271648,0.37134404057481
"121","Pulsar",0.280328070053744,0.580572891662666,0.70008010069802
"122","Pulsar",0.564177559802375,0.596347607052897,0.759100182540535
"123","NS",0.122877533700292,0.458486399576672,0.520825548046662
"124","BH",0.51060848774019,0.287636413669247,0.136285812121904
"125","NS",0.422420058669472,0.440519818690327,0.322046277901134
"126","BH",0.50132349328849,0.588409249432006,0.550872164186744
"127","NS",0.736357880408108,0.623992507596335,0.601736789166441
"128","BH",0.0870710940714174,0.385860453207721,0.0507717838792379
"129","Pulsar",0.286204826031352,0.56707862334625,0.826426299435548
"130","Pulsar",0.42718793400219,0.622359328726555,0.758578798731521
"131","BH",0.504747474322971,0.751632761476204,0.793026223275435
"132","Pulsar",0.346228943555376,0.393426645369142,0.403741750053225
"133","NS",0.867209995573981,0.525064057001532,0.423283652291501
"134","BH",0.279019787419961,0.575745202123316,0.760819521178637
"135","NS",0.449566379243019,0.688424818682067,0.633186293473857
"136","NS",0.173674919999363,0.425637083377514,0.36402434251722
"137","NS",0.139518569220855,0.481166374909719,0.401724965415996
"138","Pulsar",0.0954622567457263,0.653179190751445,0.7759117874973
"139","NS",0.0939198434572877,0.689791272154727,0.83222669735328
"140","NS",0.590979618355149,0.461276145668071,0.406202890394163
"141","NS",0.65780120393906,0.581281964441044,0.524249966086867
"142","NS",0.956103774392142,0.483661993139396,0.387565809683414
"143","BH",0.63126382190991,0.498002370255481,0.316825333184266
"144","BH",0.0272161609551521,0.447742397992712,0.17959658925516
"145","NS",0.667966681131779,0.549396319324087,0.549218852162676
"146","Pulsar",0.212757440251404,0.366502154872793,0.45723899708177
"147","NS",0.69000762662869,0.544577144690174,0.557759613745761
"148","Pulsar",0.437766260738917,0.497558340086861,0.638315058862246
"149","BH",0.31701482499134,0.46596279537456,0.318840579710145
"150","Pulsar",0.268378031516167,0.327383880261401,0.586924155788111
"151","Pulsar",0.377728173382768,0.527137257671528,0.680931163477805
"152","NS",0.216212041161077,0.430874200426439,0.351697391996815
"153","NS",0.338702307920423,0.460144403382564,0.29444826400825
"154","BH",0.289478298744504,0.295831876966096,0.150995079911923
"155","NS",0.587455073270319,0.584759802074543,0.530321228558346
"156","NS",0.097245413913628,0.525799382408606,0.577370383522727
"157","Pulsar",0.314119410618872,0.548736249152093,0.671257304915779
"158","Pulsar",0.390979306932313,0.260150476360075,0.295169225549241
"159","NS",0.195556353391601,0.393286904394587,0.338398929735879
"160","BH",0.0711786227653586,0.496024464831804,0.56404999669334
"161","NS",0.570289611534853,0.548774783365661,0.550731061716318
"162","Pulsar",0.185660723633168,0.471301667139902,0.515248437964891
"163","BH",0.158647639261606,0.733847427351544,0.780677820061751
"164","NS",0.602610940852584,0.502224083192245,0.467723093490411
"165","NS",0.103098209832206,0.5467104141118,0.51064818467959
"166","Pulsar",0.373107564059352,0.526332182625172,0.49199677087103
"167","Pulsar",0.384391339200929,0.607743894723523,0.750080619155111
"168","BH",0.29625623215545,0.395841468176494,0.18156572335361
"169","NS",0.193147586440864,0.374464567520854,0.34112730237381
"170","BH",0.43714885509538,0.442035448457035,0.297035569084929
"171","Pulsar",0.194184019256273,0.424481296943556,0.67091890972488
"172","NS",0.0713500989362955,0.468241062510834,0.482836408008606
"173","NS",0.193466600436338,0.543965614012218,0.520546693569879
"174","NS",0.4899793179966,0.474832594070829,0.418731665228645
"175","NS",0.321192417017992,0.549454894832595,0.528717408702245
"176","Pulsar",0.229078149460074,0.366353187042842,0.508244580202195
"177","NS",0.49531574700375,0.492967562088191,0.4742356087306
"178","BH",0.259817174312852,0.767619047619048,0.89870474925274
"179","BH",0.371180262156379,0.332677580945435,0.10869147259001
"180","BH",0.350698228348812,0.686672927516435,0.731204453070641
"181","NS",0.590548597621455,0.600410222750954,0.620971695837257
"182","NS",0.0101340595031534,0.481726710229573,0.576421380972636
"183","NS",0.0356352355461238,0.532138672154106,0.545757256229536
"184","NS",0.504566852383034,0.475585091014158,0.42298038953216
"185","BH",0.387461206886365,0.439033807647319,0.365932866953341
"186","NS",0.0963765288390127,0.54818401937046,0.649395503598966
"187","Pulsar",0.383371412935789,0.474612492919306,0.48032599006749
"188","Pulsar",0.0207000502058938,0.78354556803995,0.837926263834879
"189","NS",0.139842242618421,0.364757885011129,0.348077192453155
"190","BH",0.353033411766873,0.416571915161717,0.445502729658547
"191","NS",0.626522156895625,0.565142894800431,0.552685558766448
"192","NS",0.204414081291013,0.4469485680012,0.418382231193181
"193","BH",0.621058157438476,0.418266083632269,0.417778243664666
"194","NS",0.648785199158782,0.444700001811036,0.453216113558143
"195","NS",0.626711566218054,0.541339697145601,0.537865549859196
"196","NS",0.502061053232615,0.496413655997156,0.452933025363769
"197","Pulsar",0.390985869961593,0.378309958989418,0.44122866894198
"198","Pulsar",0.581475890550693,0.524581170612314,0.578699375490819
"199","BH",0.560303839874043,0.336189551099702,0.163216815836273
"200","NS",0.591290874371349,0.545445405954832,0.576309524117268
"201","NS",0.0146513355562893,0.580146533238027,0.683019377034251
"202","Pulsar",0.233997557096601,0.515303713243185,0.513591521991987
"203","NS",0.563409172113909,0.477573175037706,0.430977642726517
"204","NS",0.0052176342574943,0.308168681804777,0.415836653386454
"205","BH",0.337569402172823,0.4815103490084,0.22013807476879
"206","NS",0.434261809187019,0.464995197897184,0.374418787926551
"207","NS",0.396124301563276,0.530536890309364,0.366616961258275
"208","NS",0.460509790416362,0.484049393956638,0.461226721177044
"209","BH",0.146458441527218,0.304795012497486,0.276635178763602
"210","Pulsar",0.601132608970265,0.540433195184527,0.676871574273226
"211","NS",0.597185495158767,0.622825097745744,0.579837439154486
"212","NS",0.0662912205978848,0.563043973570289,0.389896290640708
"213","Pulsar",0.0943054514263637,0.674067292286564,0.855460820138043
"214","BH",0.209927930618339,0.567024176877678,0.402147788712526
"215","BH",0.48779971351253,0.607352079671939,0.661677855736712
"216","Pulsar",0.188515039689751,0.560282621767889,0.68568665377176
"217","Pulsar",0.521458334089605,0.448399426660296,0.505417417846242
"218","NS",0.789493119446175,0.638677940345614,0.601880016400234
"219","NS",0.164657914517826,0.452738797088212,0.413357597096261
"220","BH",0.592049632422752,0.504099695916594,0.296458216975136
"221","BH",0.0823341857398174,0.389052327383435,0.102977536985303
"222","NS",0.17020561189538,0.425804041358547,0.453510138774144
"223","BH",0.14681516907289,0.484831634889913,0.435066077228861
"224","NS",0.353692908959668,0.560375493474362,0.541693381421641
"225","BH",0.316422857057882,0.562158158614403,0.737578965340618
"226","NS",0.267781299319636,0.443864748201439,0.632700885857263
"227","NS",0.372618047212436,0.574287422408656,0.572047694277421
"228","BH",0.0177750106245181,0.387531855741756,0.229965968726182
"229","NS",0.0282111466432621,0.309287565924734,0.574855570839065
"230","Pulsar",0.485310548040313,0.47579255685734,0.522257988537332
"231","BH",0.220260400888923,0.698657058630855,0.579043697094486
"232","Pulsar",0.168116766694509,0.577500708415982,0.732139649080783
"233","Pulsar",0.454255570747671,0.703310302155306,0.954916084683169
"234","BH",0.18207807937828,0.571020344774033,0.474467275494673
"235","Pulsar",0.550519322774568,0.521597282139776,0.745532512979377
"236","BH",0.485485751055532,0.47412946720775,0.270484081493672
"237","NS",0.679423314606996,0.58102393290961,0.545555874302244
"238","Pulsar",0.760561837300798,0.51145083225121,0.673889917654939
"239","NS",0.177810556965667,0.397938980850373,0.187645751447935
"240","NS",0.561376932319443,0.493547268229064,0.432178512958773
"241","NS",0.0375637415691753,0.447997344545253,0.428587790631085
"242","NS",0.265313591963286,0.531606262779608,0.461849090497506
"243","NS",0.83929184906042,0.437935767795235,0.185272810944233
"244","NS",0.339826039633502,0.488749719661747,0.550961560744353
"245","BH",0.570755578765781,0.338341919481015,0.219908611599297
"246","BH",0.442050432498921,0.410563908770827,0.155198068207906
"247","BH",0.499416604382524,0.485394735836219,0.224052471412763
"248","Pulsar",0.502617401244986,0.375721661837433,0.509860937687084
"249","NS",0.293905084693274,0.5629968408297,0.526538081958314
"250","NS",0.693446219478276,0.531305086493467,0.514924681020278
"251","BH",0.77060179679794,0.63973719905999,0.617965223825379
"252","NS",0.642054663888954,0.525851374495331,0.524321046167772
"253","NS",0.201441376967165,0.639896654881697,0.616835952194924
"254","Pulsar",0.192128654123794,0.667938823129316,0.772614950707688
"255","BH",0.284786366455338,0.479824575904677,0.476711455733178
"256","BH",0.214438264323282,0.621669106881406,0.653040186422031
