"","classification","relative_intensity","soft_colors","hard_colors"
"1","BH",0.123788079171287,0.424172264061334,0.357838686490372
"2","Pulsar",0.234957634277135,0.535233480377591,0.764071147620871
"3","NS",0.330759658880456,0.579422874004605,0.55803545990988
"4","BH",0.105217240276273,0.593126523426921,0.349771417750967
"5","Pulsar",0.216489595408625,0.457533589251439,0.709532374100719
"6","Pulsar",0.0797265606069376,0.664775644316665,0.806796662326903
"7","Pulsar",0.350102657267143,0.49135519530855,0.604009235936188
"8","Pulsar",0.419692875275727,0.594641849971799,0.692981331966338
"9","Pulsar",0.432569057011153,0.404624572507784,0.674044265593561
"10","NS",0.113693512334685,0.391770412836256,0.339156715317706
"11","NS",0.701770759692519,0.491834790916731,0.488015876978381
"12","BH",0.308397522539633,0.527242872070458,0.655298770090339
"13","Pulsar",0.120658213347179,0.47548596112311,0.594235588972431
"14","NS",0.142268997118372,0.470841041696314,0.416446955430006
"15","NS",0.303084549461925,0.573834091316609,0.499080318822808
"16","BH",0.426016776900809,0.354655323209032,0.283753971055418
"17","BH",0.923358119677141,0.616178859848723,0.552535283570917
"18","NS",0.689404064768781,0.568793398006521,0.500351413521553
"19","BH",0.94775724211165,0.489343322776279,0.343502545153676
"20","NS",0.583827825996652,0.41251006816887,0.420007369911367
"21","NS",0.384277014385577,0.447152214243346,0.418833580980684
"22","BH",0.0348274434898047,0.380992667794698,0.468056102511284
"23","NS",0.0620771691659611,0.363130765056972,0.404414562983636
"24","NS",0.155816469954104,0.564941438871844,0.559890061329281
"25","Pulsar",0.587063019914315,0.336966711394592,0.485413070459506
"26","NS",0.376137653580186,0.444678244577358,0.503504883643017
"27","NS",0.0172524205655085,0.481566418226687,0.743513220205209
"28","NS",0.21300710695693,0.653460774807222,0.546758462421113
"29","Pulsar",0.455534636935186,0.567578253706755,0.76762221789401
"30","NS",0.660199974474619,0.469179578529896,0.435109179677021
"31","NS",0.399522276465039,0.609250935321508,0.584810959217526
"32","NS",0.653551078038374,0.641873195630698,0.676352583220546
"33","NS",0.131550251517634,0.437601038032843,0.329287163876205
"34","BH",0.0769540549773437,0.441458173038656,0.565086251420308
"35","NS",0.824726936376753,0.461693198263386,0.396417154818505
"36","NS",0.554641777728068,0.427928231195193,0.376832320343225
"37","Pulsar",0.287644664898101,0.436545440304937,0.497368298476874
"38","BH",0.307193311062047,0.692595692595693,0.576858275520317
"39","BH",0.202936706700128,0.670705267185308,0.869930985844542
"40","NS",0.261954247309417,0.530787490640284,0.302382869865934
"41","NS",0.597185495158767,0.622825097745744,0.579837439154486
"42","NS",0.181150703559663,0.596404864792623,0.594952272371627
"43","NS",0.213211718072191,0.469177943849727,0.312932995215811
"44","BH",0.0735139172470923,0.37883077512762,0.251394976509803
"45","NS",0.163049844936996,0.626823076171962,0.692089371317242
"46","BH",0.63616036103036,0.559658446028938,0.508597266225497
"47","BH",0.469845857684066,0.312307911174101,0.150714039461122
"48","NS",0.113585153237515,0.39073789611424,0.676432020207514
"49","NS",0.747727193330685,0.53747601315785,0.513129718836781
"50","NS",0.554882535376722,0.560675137331509,0.554974126130313
"51","BH",0.00438674613437797,0.368981472127372,0.455365083794011
"52","Pulsar",0.425953562944235,0.398683620044877,0.37723864410981
"53","BH",0.108950123637585,0.527885815807164,0.420507455649201
"54","NS",0.847225050985891,0.61628319853811,0.591984167357002
"55","NS",0.282819044596613,0.519530488992792,0.353750409433344
"56","NS",0.691607339623151,0.45485020242915,0.418269480014516
"57","NS",0.416390416850752,0.454106781507809,0.354176684229372
"58","NS",0.783056262963794,0.456084026403554,0.408760661261451
"59","NS",0.146490331029188,0.59873448682115,0.595931773827833
"60","Pulsar",0.155883231530429,0.238245219347582,0.427943909444163
"61","BH",0.0250177290368608,0.579431162150548,0.549053126418975
"62","Pulsar",0.488261336018966,0.498180250933819,0.639847401704702
"63","NS",0.0639147062717118,0.504785661017821,0.460752248569092
"64","Pulsar",0.666781698870769,0.560862009037192,0.709963269054178
"65","NS",0.21053310042766,0.467353834601864,0.439847093977979
"66","NS",0.100484499648721,0.360655029847685,0.371593483254553
"67","BH",0.376106880426998,0.287723175302605,0.148095779422929
"68","BH",0.16700629491647,0.486440783467508,0.474880661928503
"69","BH",0.0934039113298662,0.501068382156024,0.156687309185118
"70","Pulsar",0.371180720203284,0.495035046728972,0.540714803187636
"71","NS",0.582643507923421,0.611180601517253,0.606659258419875
"72","BH",0.678599753856349,0.510109557317182,0.302307880961039
"73","NS",0.202080965191255,0.407694811439393,0.380280491014071
"74","Pulsar",0.288867296212844,0.590768577294287,0.841938806201409
"75","Pulsar",0.408159726930055,0.529626122636366,0.655464480874317
"76","NS",0.271511856694957,0.586381411559992,0.559518536377501
"77","BH",0.0905029941936473,0.432707036627693,0.497328316409807
"78","NS",0.167416429605698,0.438037865748709,0.329227792681832
"79","Pulsar",0.048019798064115,0.557429693833011,0.630627114233672
"80","NS",0.0464854759537311,0.551781970649895,0.485857591095435
"81","BH",0.269604934192809,0.221706028311823,0.0830090859378286
"82","NS",0.836190428523988,0.615551850036494,0.595057067102057
"83","BH",0.269351667730555,0.420892879726824,0.367016864805087
"84","NS",0.571906698501812,0.544126520583931,0.538001283827156
"85","Pulsar",0.301539894064331,0.594830964494171,0.736808876169629
"86","NS",0.678198684657744,0.577739762219287,0.577048065396249
"87","NS",0.713113288418612,0.584715110511365,0.568003394593264
"88","NS",0.562287298340092,0.518870264765352,0.541683862007307
"89","BH",0.329995456345293,0.516945177533017,0.435304221444143
"90","BH",0.214309182464833,0.568661257606491,0.581566493836149
"91","Pulsar",0.0746186211642591,0.653232883740397,0.754415153514433
"92","BH",0.656234755501275,0.67331638307582,0.700621340661967
"93","Pulsar",0.42957040960528,0.542262024552224,0.664577495944551
"94","BH",0.436212553439129,0.629690932153575,0.50996888561369
"95","BH",0.272870937769072,0.452778111124445,0.341706366392378
